,date,0-4-high,5-18-high,19-49-high,50-64-high,65-high,0-4-low,5-18-low,19-49-low,50-64-low,65-low
0,2021-03-02,0,13943.21071352435,139432.1071352435,81192.96584991887,161738.44679058617,0,0,0,0,0
1,2021-03-03,0,14514.477511805097,145121.23823239305,84477.98349246806,163300.17809195674,0,0,0,0,0
2,2021-03-04,0,15055.785342655541,150510.7796552396,87690.04028813509,165482.00858651864,0,0,0,0,0
3,2021-03-05,0,15554.53607618191,155474.75010484536,90982.17606208744,168123.17181677776,0,0,0,0,0
4,2021-03-06,0,16200.469839442798,161910.55085179632,94706.73831878055,171131.8012355946,0,0,0,0,0
5,2021-03-07,0,16772.427998510397,167606.5955568144,98757.84485359272,172662.91035458542,0,0,0,0,0
6,2021-03-08,0,17344.386157578,173302.64026183248,102808.95138840491,174194.01947357622,0,0,0,0,0
7,2021-03-09,0,18201.26177869431,181847.85958733765,107154.570610022,175071.85536846425,0,0,0,0,914.2272121357382
8,2021-03-10,0,18976.095919770712,189572.6641124438,111178.09438564701,176232.9464503656,0,0,0,0,3500.30715750542
9,2021-03-11,0,19790.721715023778,197695.38517931648,115730.13941795519,177899.3035415339,0,0,0,0,5638.5578046330775
10,2021-03-12,0,19793.075403589566,197695.38517931648,115730.13941795519,177899.3035415339,0,0,0,0,5638.5578046330775
11,2021-03-13,0,22389.107492967632,222776.28927283158,131277.91793526418,184756.120546081,0,0,0,0,12419.513465862023
12,2021-03-14,0,23322.18643636821,224979.42564693704,136867.43061958003,186269.3667253502,0,0,2229.3833801067376,0,14409.906659117813
13,2021-03-15,0,24064.75707405812,226488.12851958105,140944.3403807286,187175.27295408642,0,0,7334.69870272823,0,15773.899250089598
14,2021-03-16,0,24818.08221287687,227308.54331998018,144882.44657951593,187815.7869355309,0,0,13761.281306990539,0,17874.265118758136
15,2021-03-17,0,25591.840903840395,228302.56649574463,149099.9394358765,188678.31173922904,0,0,20301.554351802595,0,19768.70244425998
16,2021-03-18,0,26251.29461137752,228983.17278146895,151805.23204133852,189211.64808234415,0,0,26058.28517134246,0,21434.043399181857
17,2021-03-19,0,26991.407077380856,230009.4594606199,152472.5568603829,190015.48036981435,0,0,32192.95988780883,0,23414.742862203653
18,2021-03-20,0,27727.83228585431,230998.87356447199,153150.558876532,191026.01238834826,0,0,38906.84130801281,0,25588.502102895756
19,2021-03-21,0,28365.316083942547,230998.87356447199,153150.558876532,191026.01238834826,0,0,38906.84130801281,0,25588.502102895756
20,2021-03-22,0,29376.902885583564,234739.90359999973,155253.96670615996,193544.68688908807,0,0,50663.04740155424,0,28340.22020580992
21,2021-03-23,0,29928.12022104556,235924.4350814748,155976.45704357867,194358.72657068487,0,0,54801.99397968312,0,29120.62362226713
22,2021-03-24,0,30479.337556507562,237108.9665629499,156698.94738099742,195172.7662522816,0,0,58940.94055781196,2275.0895622980024,29901.027038724395
23,2021-03-25,0,31232.662695326315,238430.23384449154,157595.8319377931,196313.44254592978,0,0,64958.852119193296,5516.013940370234,30809.69259444825
24,2021-03-26,0,32335.201849371115,241860.91970458737,160101.41419169842,199712.50479008933,0,0,72149.0043041312,9285.08409395226,32559.25712656969
25,2021-03-27,0,33280.11074401339,247485.52379496396,163091.02938101732,202930.38578850165,0,0,75713.35325112578,10455.924174563115,32992.053480906354
26,2021-03-28,0,33282.46443257919,247485.52379496396,163091.02938101732,202930.38578850165,0,0,75713.35325112578,10455.924174563115,32992.053480906354
27,2021-03-29,0,34755.880239838116,253607.13947322275,166591.37049851153,207526.0,0,0,84118.76406423349,14613.279498689197,35036.123063898005
28,2021-03-30,0,36229.29604709705,259728.75515148154,170091.71161600575,207526.0,0,0,92524.17487734125,18770.63482281528,41675.80685838801
29,2021-03-31,0,37057.59542235676,263024.241568815,172454.93124184827,207526.0,0,0,97231.57365841384,20266.997729652532,45069.16774574501
30,2021-04-01,0,38963.64944645537,270563.1468601228,176795.21186491303,207526.0,0,0,107758.69390906353,22701.206480796885,50112.11097374
31,2021-04-02,0,40744.18307880752,278112.80665255943,180806.27891058254,207526.0,0,0,117274.89105344663,24469.807661977684,54107.408592639025
32,2021-04-03,0,42379.684581650916,285860.65653722733,184856.4956789693,207526.0,0,0,125153.33131141413,26006.76527241568,57925.80114158103
33,2021-04-04,0,42382.038270216704,285860.65653722733,184856.4956789693,207526.0,0,0,125153.33131141413,26006.76527241568,57925.80114158103
34,2021-04-05,0,45301.473572111645,300688.0408792717,192517.38460159898,207526.0,0,0,138531.9307200967,28643.488421470596,68510.23824926803
35,2021-04-06,0,47044.3664505129,307994.95621765766,196451.93173468474,207526.0,0,0,148151.0638038338,30118.18017743813,74074.70681337
36,2021-04-07,0,48560.3393550959,312418.0,199112.3333466084,207526.0,0,0,157616.6900528968,31705.583984968427,76268.78917452501
37,2021-04-08,0,50823.28918094115,312418.0,202904.51785163133,207526.0,0,0,177930.40633113147,33568.51286395575,79315.23232729104
38,2021-04-09,0,52884.208021294864,312418.0,207885.43030097868,207526.0,0,0,196359.01219691767,35079.01060054466,82899.28309525101
39,2021-04-10,0,55862.0249007463,312418.0,215715.37484443292,207526.0,0,0,222357.25050128065,36823.61300215815,89690.59980684699
40,2021-04-11,0,57578.09194573242,312418.0,216392.0,207526.0,0,0,244758.8763561393,43576.60334223157,93681.30248886399
41,2021-04-12,0,58299.04021044795,312418.0,216392.0,207526.0,0,0,255708.49486430583,47246.92721760896,95023.02405840799
42,2021-04-13,0,59148.42794578777,312418.0,216392.0,207526.0,0,0,268332.7428342238,50915.633497624716,100339.366030882
43,2021-04-14,0,59729.260424367734,312418.0,216392.0,207526.0,0,0,283473.54406868166,56378.25303360948,105655.708003356
44,2021-04-15,0,59729.65711345186,312418.0,216392.0,207526.0,0,0,283473.54406868166,56378.25303360948,110972.04997583001
45,2021-04-16,0,61603.487899177664,312418.0,216392.0,207526.0,0,6639.299010285729,368962.609912434,94073.07774401887,116288.39194830402
46,2021-04-17,0,61603.88458826179,312418.0,216392.0,207526.0,0,6641.229563828703,368962.609912434,94073.07774401887,116288.39194830402
47,2021-04-18,0,63118.207764823936,312418.0,216392.0,207526.0,0,8686.668968136932,404536.9632948666,106460.62302283768,122220.455462966
48,2021-04-19,0,63590.26614627233,312418.0,216392.0,207526.0,0,9379.96030871541,416167.1880888642,110570.93283655908,123314.05044088198
49,2021-04-20,0,64104.57435358399,312418.0,216392.0,207526.0,0,9661.815163193169,424105.5462804871,113133.20388926857,124501.84162487905
50,2021-04-21,0,65065.80890066361,312418.0,216392.0,207526.0,0,10429.619833109718,441372.6660241779,119800.93196961476,127100.27843165002
51,2021-04-22,0,65958.21464051874,312418.0,216392.0,207526.0,0,11312.344029381566,459100.6929591765,126251.90227151208,129802.10131826601
52,2021-04-23,0,66387.10138172141,312418.0,216392.0,207526.0,0,11383.257025957457,464075.417910691,126237.343913258,128409.83544301998
53,2021-04-24,0,66387.49807080554,312418.0,216392.0,207526.0,0,11385.187579500445,464075.417910691,126222.78555500397,127017.56956777402
54,2021-04-25,0,68797.05664847733,312418.0,216392.0,207526.0,0,13302.34114903504,507319.2669564837,141329.50863660348,135685.91799566697
55,2021-04-26,0,69227.78701844494,312418.0,216392.0,207526.0,0,13704.953687622314,515629.42361576157,143642.67000363284,136448.677518079
56,2021-04-27,0,69819.52763388415,312418.0,216392.0,207526.0,0,14141.212451200277,525886.1449796621,145758.484736552,137356.17755227402
57,2021-04-28,0,70717.77153149492,312418.0,216392.0,207526.0,0,13409.071484861299,527523.9018661089,149760.41566104902,138839.19343093957
58,2021-04-29,0,71616.0154291057,312418.0,216392.0,207526.0,0,15189.950161262313,554291.8551799557,153762.34658554598,140322.20930960507
59,2021-04-30,0,71616.41211818982,312418.0,216392.0,207526.0,0,15191.880714805302,554291.8551799557,153762.34658554598,140322.20930960507
60,2021-05-01,0,73944.8510302042,312418.0,216392.0,207526.0,0,16384.949086782755,589483.655593603,163243.07299964328,144085.46261596307
61,2021-05-02,0,74611.87315354518,312418.0,216392.0,207526.0,0,16703.676516589083,599317.878698805,166711.19745482574,145489.215833414
62,2021-05-03,0,74921.69220367871,312418.0,216392.0,207526.0,0,16972.779605408592,605083.8276620642,167880.71890123293,145891.27281058906
63,2021-05-04,0,75385.76152714569,312418.0,216392.0,207526.0,0,17163.528471729995,611608.7371336769,169233.02862349624,146467.93738928
64,2021-05-05,0,76251.89555710039,312418.0,216392.0,207526.0,0,17440.159711428103,623013.1174039339,172338.8117176895,147331.78552309598
65,2021-05-06,0,77340.340488961,312418.0,216392.0,207526.0,0,17808.51148223126,637557.8120043004,175265.04172674974,148944.60836867802
66,2021-05-07,0,78495.30969208991,312418.0,216392.0,207526.0,0,18174.712352818766,652746.2403151935,178251.1227641877,150511.48184544
67,2021-05-08,0,78495.70638117404,312418.0,216392.0,207526.0,0,18176.642906361754,652746.2403151935,178251.1227641877,150511.48184544
68,2021-05-09,0,78496.10307025816,312418.0,216392.0,207526.0,0,18178.573459904743,652746.2403151935,178251.1227641877,150511.48184544
69,2021-05-10,0,80824.84925373335,312418.0,216392.0,207526.0,0,18923.64004193117,683461.0955439387,185012.6713755043,153403.99461265898
70,2021-05-11,0,81469.13328897339,312418.0,216392.0,207526.0,0,19096.874435011137,691613.0074008675,186347.18754879048,153964.57691226306
71,2021-05-12,0,82308.38106610603,312418.0,216392.0,207526.0,0,19306.059589043653,702074.0642862481,188704.02399058192,155818.63394415006
72,2021-05-13,0,83241.19300305945,312418.0,216392.0,207526.0,0,19541.823724456262,713736.5525836372,190692.04868993792,156556.12131371105
73,2021-05-14,0,84044.86150884366,312418.0,216392.0,207526.0,0,19926.36761777998,724895.1156851966,193058.59070389875,157801.34920873307
74,2021-05-15,0,84681.80256907834,312418.0,216392.0,207526.0,0,22006.961706379836,733391.1715783019,195017.49868674675,158504.374551679
75,2021-05-16,0,84681.80256907834,312418.0,216392.0,207526.0,0,22006.961706379836,733391.1715783019,195017.49868674675,158504.374551679
76,2021-05-17,0,85750.18543836211,312418.0,216392.0,207526.0,0,28894.34716412917,752131.657976873,198852.81728900305,159717.43788852706
77,2021-05-18,0,86125.9735576828,312418.0,216392.0,207526.0,0,31402.21002556794,757585.7264073475,199954.39973022474,160392.89361018105
78,2021-05-19,0,86635.27600399798,312418.0,216392.0,207526.0,0,34850.922498056534,765176.8678481851,201614.0525711843,161160.24806947506
79,2021-05-20,0,87329.55099246238,312418.0,216392.0,207526.0,0,38144.00148682395,774756.0556408635,203758.98402061156,162338.849379708
80,2021-05-21,0,87329.55099246238,312418.0,216392.0,207526.0,0,38144.00148682395,774756.0556408635,203758.98402061156,162338.849379708
81,2021-05-22,0,88182.77848306418,312418.0,216392.0,207526.0,0,42010.70654639568,788309.7997799187,207182.6246033511,163694.35575989797
82,2021-05-23,0,89036.00597366595,312418.0,216392.0,207526.0,0,45877.41160596741,801863.5439189738,210606.26518609078,165049.862140088
83,2021-05-24,0,89036.00597366595,312418.0,216392.0,207526.0,0,45877.41160596741,801863.5439189738,210606.26518609078,165049.862140088
84,2021-05-25,0,89573.60519516302,312418.0,216392.0,207526.0,0,49786.10701857091,811233.7871182594,212686.49282105564,165842.48875223304
85,2021-05-26,0,89926.50646791895,312418.0,216392.0,207526.0,0,51070.76120513555,817079.6266613454,214080.86002271954,166437.533078452
86,2021-05-27,0,91179.68453045242,312418.0,216392.0,207526.0,0,52023.184142838494,821172.8868247115,215009.1043504604,166871.5127750177
87,2021-05-28,0,92432.86259298588,312418.0,216392.0,207526.0,0,52975.607080541435,825266.1469880773,215937.34867820132,167305.49247158348
88,2021-05-29,0,93686.04065551935,312418.0,216392.0,207526.0,0,53928.030018244375,829359.4071514437,216865.59300594236,167739.4721681492
89,2021-05-30,0,94939.21871805281,312418.0,216392.0,207526.0,0,54880.452955947345,833452.66731481,217793.83733368327,168173.45186471497
90,2021-05-31,0,96192.39678058629,312418.0,216392.0,207526.0,0,55832.87589365024,837545.9274781761,218722.0816614242,168607.43156128068
91,2021-06-01,0,97445.57484311976,312418.0,216392.0,207526.0,0,56785.29883135318,841639.1876415422,219650.3259891651,169041.41125784646
92,2021-06-02,0,98698.75290565321,312418.0,216392.0,207526.0,0,57737.72176905617,845732.4478049083,220578.57031690603,169475.39095441217
93,2021-06-03,0,99951.93096818667,312418.0,216392.0,207526.0,0,58690.14470675908,849825.7079682746,221506.81464464706,169909.3706509779
94,2021-06-04,0,101205.10903072015,312418.0,216392.0,207526.0,0,59642.567644462004,853918.9681316405,222435.05897238798,170343.35034754366
95,2021-06-05,0,102458.28709325363,312418.0,216392.0,207526.0,0,60594.99058216493,858012.228295007,223363.3033001289,170777.33004410937
96,2021-06-06,0,103711.4651557871,312418.0,216392.0,207526.0,0,61547.4135198679,862105.4884583731,224291.54762786976,171211.30974067515
97,2021-06-07,0,104964.64321832056,312418.0,216392.0,207526.0,0,62499.83645757081,866198.748621739,225219.7919556108,171645.28943724086
98,2021-06-08,0,106217.82128085403,312418.0,216392.0,207526.0,0,63452.25939527375,870292.0087851053,226148.0362833517,172079.26913380658
99,2021-06-09,0,107470.99934338748,312418.0,216392.0,207526.0,0,64404.68233297671,874385.2689484714,227076.28061109263,172513.24883037235
100,2021-06-10,0,108724.17740592096,312418.0,216392.0,207526.0,0,65357.1052706796,878478.5291118375,228004.52493883355,172947.22852693807
101,2021-06-11,0,109977.35546845442,312418.0,216392.0,207526.0,0,66309.52820838257,882571.7892752036,228932.76926657447,173381.20822350384
102,2021-06-12,0,111230.53353098789,312418.0,216392.0,207526.0,0,67261.95114608551,886665.0494385699,229861.01359431545,173815.18792006955
103,2021-06-13,0,112483.71159352135,312418.0,216392.0,207526.0,0,68214.37408378845,890758.309601936,230789.25792205642,174249.16761663533
104,2021-06-14,0,113736.88965605482,312418.0,216392.0,207526.0,0,69166.7970214914,894851.5697653021,231717.50224979734,174683.14731320104
105,2021-06-15,0,117086.41977631296,312418.0,216392.0,207526.0,0,70374.05781839018,901156.7801423916,232773.79202089534,175117.36884855002
106,2021-06-16,0,119851.78441329434,312418.0,216392.0,207526.0,0,71164.89603754907,907262.2640699141,234323.4483772688,175919.18533445906
107,2021-06-17,0,121508.47800861418,312418.0,216392.0,207526.0,0,71991.73915625954,912599.5693452572,235685.46367170155,176732.489162573
108,2021-06-18,0,123185.58906146552,312418.0,216392.0,207526.0,0,72615.72214313681,917007.3784514633,236558.96516694338,177175.90057168598
